"_id",class,day,hour,minute,tweetden
5a0e3d9134e4b81614f09263,M,Sat,H5,M30,0
5a0e3d9134e4b81614f09264,L,Sat,H6,M0,0
5a0e3d9134e4b81614f09265,L,Sat,H6,M30,0
5a0e3d9134e4b81614f09266,M,Sat,H7,M0,0
5a0e3d9134e4b81614f09267,M,Sat,H7,M30,0
5a0e3d9134e4b81614f09268,M,Sat,H8,M0,0
5a0e3d9134e4b81614f09269,M,Sat,H8,M30,0
5a0e3d9134e4b81614f0926a,M,Sat,H9,M0,0
5a0e3d9134e4b81614f0926b,M,Sat,H9,M30,0
5a0e3d9134e4b81614f0926c,M,Sat,H10,M0,0
5a0e3d9134e4b81614f0926d,L,Sat,H10,M30,0
5a0e3d9134e4b81614f0926e,H,Sat,H11,M0,0
5a0e3d9134e4b81614f0926f,L,Sat,H11,M30,0
5a0e3d9134e4b81614f09270,M,Sat,H12,M0,0
5a0e3d9134e4b81614f09271,M,Sat,H12,M30,0
5a0e3d9134e4b81614f09272,H,Sat,H13,M0,0
5a0e3d9134e4b81614f09273,L,Sat,H13,M30,0
5a0e3d9134e4b81614f09274,H,Sat,H14,M0,0
5a0e3d9134e4b81614f09275,L,Sat,H14,M30,0
5a0e3d9134e4b81614f09276,M,Sat,H15,M0,0
5a0e3d9134e4b81614f09277,L,Sat,H15,M30,0
5a0e3d9134e4b81614f09278,M,Sat,H16,M0,0
5a0e3d9134e4b81614f09279,L,Sat,H16,M30,0
5a0e3d9134e4b81614f0927a,L,Sat,H17,M0,0
5a0e3d9134e4b81614f0927b,M,Sat,H17,M30,0
5a0e3d9134e4b81614f0927c,H,Sat,H18,M0,0
5a0e3d9134e4b81614f0927d,H,Sat,H18,M30,0
5a0e3d9134e4b81614f0927e,H,Sat,H19,M0,0
5a0e3d9134e4b81614f0927f,L,Sat,H19,M30,0
5a0e3d9134e4b81614f09280,H,Sat,H20,M0,0
5a0e3d9134e4b81614f09281,M,Sat,H20,M30,0
5a0e3d9134e4b81614f09282,M,Sat,H21,M0,0
5a0e3d9134e4b81614f09283,H,Sat,H21,M30,0
5a0e3d9134e4b81614f09284,L,Sat,H22,M0,0
5a0e3d9134e4b81614f09285,L,Sat,H22,M30,0
5a0e3d9134e4b81614f09286,M,Sat,H23,M0,0
5a0e3d9134e4b81614f09287,M,Sat,H23,M30,0
5a0e3e1134e4b82b54164b73,M,Sun,H0,M0,0
5a0e3e1134e4b82b54164b74,L,Sun,H0,M30,0
5a0e3e1134e4b82b54164b75,M,Sun,H1,M0,0
5a0e3e1134e4b82b54164b76,L,Sun,H1,M30,0
5a0e3e1134e4b82b54164b77,L,Sun,H2,M0,0
5a0e3e1134e4b82b54164b78,M,Sun,H2,M30,0
5a0e3e1134e4b82b54164b79,L,Sun,H3,M0,0
5a0e3e1134e4b82b54164b7a,L,Sun,H3,M30,0
5a0e3e1134e4b82b54164b7b,M,Sun,H4,M0,0
5a0e3e1134e4b82b54164b7c,M,Sun,H4,M30,0
5a0e3e1134e4b82b54164b7d,L,Sun,H5,M0,0
5a0e3e1134e4b82b54164b7e,M,Sun,H5,M30,0
5a0e3e1134e4b82b54164b7f,H,Sun,H6,M0,0
5a0e3e1134e4b82b54164b80,M,Sun,H6,M30,0
5a0e3e1134e4b82b54164b81,M,Sun,H7,M0,0
5a0e3e1134e4b82b54164b82,L,Sun,H7,M30,0
5a0e3e1134e4b82b54164b83,M,Sun,H8,M0,0
5a0e3e1134e4b82b54164b84,M,Sun,H8,M30,0
5a0e3e1134e4b82b54164b85,L,Sun,H9,M0,0
5a0e3e1134e4b82b54164b86,M,Sun,H9,M30,0
5a0e3e1134e4b82b54164b87,L,Sun,H10,M0,0
5a0e3e1134e4b82b54164b88,L,Sun,H10,M30,0
5a0e3e1134e4b82b54164b89,M,Sun,H11,M0,0
5a0e3e1134e4b82b54164b8a,H,Sun,H11,M30,0
5a0e3e1134e4b82b54164b8b,L,Sun,H12,M0,0
5a0e3e1134e4b82b54164b8c,M,Sun,H12,M30,0
5a0e3e1134e4b82b54164b8d,M,Sun,H13,M0,0
5a0e3e1134e4b82b54164b8e,L,Sun,H13,M30,0
5a0e3e1134e4b82b54164b8f,M,Sun,H14,M0,0
5a0e3e1134e4b82b54164b90,M,Sun,H14,M30,0
5a0e3e1134e4b82b54164b91,M,Sun,H15,M0,0
5a0e3e1134e4b82b54164b92,M,Sun,H15,M30,0
5a0e3e1134e4b82b54164b93,M,Sun,H16,M0,0
5a0e3e1134e4b82b54164b94,L,Sun,H16,M30,0
5a0e3e1134e4b82b54164b95,M,Sun,H17,M0,0
5a0e3e1134e4b82b54164b96,M,Sun,H17,M30,0
5a0e3e1134e4b82b54164b97,H,Sun,H18,M0,0
5a0e3e1134e4b82b54164b98,L,Sun,H18,M30,0
5a0e3e1134e4b82b54164b99,H,Sun,H19,M0,0
5a0e3e1134e4b82b54164b9a,L,Sun,H19,M30,0
5a0e3e1134e4b82b54164b9b,L,Sun,H20,M0,0
5a0e3e1134e4b82b54164b9c,L,Sun,H20,M30,0
5a0e3e1134e4b82b54164b9d,M,Sun,H21,M0,0
5a0e3e1134e4b82b54164b9e,L,Sun,H21,M30,0
5a0e3e1134e4b82b54164b9f,L,Sun,H22,M0,0
5a0e3e1134e4b82b54164ba0,M,Sun,H22,M30,0
5a0e3e1134e4b82b54164ba1,M,Sun,H23,M0,0
5a0e3e1134e4b82b54164ba2,L,Sun,H23,M30,0
5a0e3e1134e4b82b54164ba3,L,Mon,H0,M0,0
5a0e3e1134e4b82b54164ba4,M,Mon,H0,M30,0
5a0e3e1134e4b82b54164ba5,L,Mon,H1,M0,0
5a0e3e1134e4b82b54164ba6,L,Mon,H1,M30,0
5a0e3e1134e4b82b54164ba7,L,Mon,H2,M0,0
5a0e3e1134e4b82b54164ba8,M,Mon,H2,M30,0
5a0e3e1134e4b82b54164ba9,M,Mon,H3,M0,0
5a0e3e1134e4b82b54164baa,M,Mon,H3,M30,0
5a0e3e1134e4b82b54164bab,M,Mon,H4,M0,0
5a0e3e1134e4b82b54164bac,L,Mon,H4,M30,0
5a0e3e1134e4b82b54164bad,M,Mon,H5,M0,0
5a0e3e1134e4b82b54164bae,M,Mon,H5,M30,0
5a0e3e1134e4b82b54164baf,H,Mon,H6,M0,0
5a0e3e1134e4b82b54164bb0,H,Mon,H6,M30,0
5a0e3e1134e4b82b54164bb1,M,Mon,H7,M0,0
5a0e3e1134e4b82b54164bb2,M,Mon,H7,M30,0
5a0e3e1134e4b82b54164bb3,L,Mon,H8,M0,0
5a0e3e1134e4b82b54164bb4,M,Mon,H8,M30,0
5a0e3e1134e4b82b54164bb5,L,Mon,H9,M0,0
5a0e3e1134e4b82b54164bb6,H,Mon,H9,M30,0
5a0e3e1134e4b82b54164bb7,L,Mon,H10,M0,0
5a0e3e1134e4b82b54164bb8,M,Mon,H10,M30,0
5a0e3e1134e4b82b54164bb9,L,Mon,H11,M0,0
5a0e3e1134e4b82b54164bba,H,Mon,H11,M30,0
5a0e3e1134e4b82b54164bbb,L,Mon,H12,M0,0
5a0e3e1134e4b82b54164bbc,M,Mon,H12,M30,0
5a0e3e1134e4b82b54164bbd,M,Mon,H13,M0,0
5a0e3e1134e4b82b54164bbe,M,Mon,H13,M30,0
5a0e3e1134e4b82b54164bbf,H,Mon,H14,M0,0
5a0e3e1134e4b82b54164bc0,M,Mon,H14,M30,0
5a0e3e1134e4b82b54164bc1,H,Mon,H15,M0,0
5a0e3e1134e4b82b54164bc2,L,Mon,H15,M30,0
5a0e3e1134e4b82b54164bc3,M,Mon,H16,M0,0
5a0e3e1134e4b82b54164bc4,L,Mon,H16,M30,0
5a0e3e1134e4b82b54164bc5,H,Mon,H17,M0,0
5a0e3e1134e4b82b54164bc6,M,Mon,H17,M30,0
5a0e3e1134e4b82b54164bc7,H,Mon,H18,M0,0
5a0e3e1134e4b82b54164bc8,L,Mon,H18,M30,0
5a0e3e1134e4b82b54164bc9,M,Mon,H19,M0,0
5a0e3e1134e4b82b54164bca,M,Mon,H19,M30,0
5a0e3e1134e4b82b54164bcb,M,Mon,H20,M0,0
5a0e3e1134e4b82b54164bcc,M,Mon,H20,M30,0
5a0e3e1134e4b82b54164bcd,M,Mon,H21,M0,0
5a0e3e1134e4b82b54164bce,H,Mon,H21,M30,0
5a0e3e1134e4b82b54164bcf,M,Mon,H22,M0,0
5a0e3e1134e4b82b54164bd0,L,Mon,H22,M30,0
5a0e3e1134e4b82b54164bd1,H,Mon,H23,M0,0
5a0e3e1134e4b82b54164bd2,L,Mon,H23,M30,0
5a0e3e1134e4b82b54164bd3,M,Tue,H0,M0,0
5a0e3e1134e4b82b54164bd4,L,Tue,H0,M30,0
5a0e3e1134e4b82b54164bd5,H,Tue,H1,M0,0
5a0e3e1134e4b82b54164bd6,H,Tue,H1,M30,0
